ID,N,p,mu,f,g,h
368,5000,2,"@(x,y) 0.1",-2*exp(x + y),"@(x,y) exp(x+y)",0
369,5000,2,"@(x,y) 0.1",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
370,5000,2,"@(x,y) 0.1",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
371,5000,2,"@(x,y) 0.1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
372,5000,2,"@(x,y) 1",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
373,5000,2,"@(x,y) 1",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
374,5000,2,"@(x,y) 1",-3.*x,"@(x,y) x.^3/2 + y",0
375,5000,2,"@(x,y) 1",-2*exp(x + y),"@(x,y) exp(x+y)",0
376,5000,2,"@(x,y) 1",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
377,5000,2,"@(x,y) 1",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
378,5000,2,"@(x,y) 1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
379,5000,2,"@(x,y) 10",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
380,5000,2,"@(x,y) 10",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
381,5000,2,"@(x,y) 10",-3.*x,"@(x,y) x.^3/2 + y",0
382,5000,2,"@(x,y) 10",-2*exp(x + y),"@(x,y) exp(x+y)",0
383,5000,2,"@(x,y) 10",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
384,5000,2,"@(x,y) 10",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
385,5000,2,"@(x,y) 10",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
386,5000,2,"@(x,y) 100",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
387,5000,2,"@(x,y) 100",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
388,5000,2,"@(x,y) 100",-3.*x,"@(x,y) x.^3/2 + y",0
389,5000,2,"@(x,y) 100",-2*exp(x + y),"@(x,y) exp(x+y)",0
390,5000,2,"@(x,y) 100",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
391,5000,2,"@(x,y) 100",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
392,5000,2,"@(x,y) 100",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
393,5000,3,"@(x,y) 0.1",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
394,5000,3,"@(x,y) 0.1",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
395,5000,3,"@(x,y) 0.1",-3.*x,"@(x,y) x.^3/2 + y",0
396,5000,3,"@(x,y) 0.1",-2*exp(x + y),"@(x,y) exp(x+y)",0
397,5000,3,"@(x,y) 0.1",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
398,5000,3,"@(x,y) 0.1",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
399,5000,3,"@(x,y) 0.1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
400,5000,3,"@(x,y) 1",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
401,5000,3,"@(x,y) 1",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
402,5000,3,"@(x,y) 1",-3.*x,"@(x,y) x.^3/2 + y",0
403,5000,3,"@(x,y) 1",-2*exp(x + y),"@(x,y) exp(x+y)",0
404,5000,3,"@(x,y) 1",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
405,5000,3,"@(x,y) 1",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
406,5000,3,"@(x,y) 1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
407,5000,3,"@(x,y) 10",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
408,5000,3,"@(x,y) 10",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
409,5000,3,"@(x,y) 10",-3.*x,"@(x,y) x.^3/2 + y",0
410,5000,3,"@(x,y) 10",-2*exp(x + y),"@(x,y) exp(x+y)",0
411,5000,3,"@(x,y) 10",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
412,5000,3,"@(x,y) 10",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
413,5000,3,"@(x,y) 10",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
414,5000,3,"@(x,y) 100",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
415,5000,3,"@(x,y) 100",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
416,5000,3,"@(x,y) 100",-3.*x,"@(x,y) x.^3/2 + y",0
417,5000,3,"@(x,y) 100",-2*exp(x + y),"@(x,y) exp(x+y)",0
418,5000,3,"@(x,y) 100",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
419,5000,3,"@(x,y) 100",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
420,5000,3,"@(x,y) 100",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
